,Year,Category,Prize,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country
0,1901,Chemistry,The Nobel Prize in Chemistry 1901,1/1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany
1,1901,Literature,The Nobel Prize in Literature 1901,1/1,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,Self,Self,Self
2,1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,1/1,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany
3,1901,Peace,The Nobel Peace Prize 1901,1/2,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male,Self,Self,Self
4,1901,Peace,The Nobel Peace Prize 1901,1/2,463,Individual,Frédéric Passy,1822-05-20,Paris,France,Male,Self,Self,Self
5,1901,Physics,The Nobel Prize in Physics 1901,1/1,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany
6,1902,Chemistry,The Nobel Prize in Chemistry 1902,1/1,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany
7,1902,Literature,The Nobel Prize in Literature 1902,1/1,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Male,Self,Self,Self
8,1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,1/1,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom
9,1902,Peace,The Nobel Peace Prize 1902,1/2,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,Self,Self,Self
10,1902,Peace,The Nobel Peace Prize 1902,1/2,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,Self,Self,Self
